지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa)
90,속초,2021-03-05,9.5,1.5,16.5,,1.6,1.5,59.1,1016.4
90,속초,2021-03-06,.5,-1.1,10.3,5.4,2.6,-2,83.1,1030.7
90,속초,2021-03-07,1.7,-.9,5.1,.5,.9,-.6,85.3,1027
90,속초,2021-03-08,2.7,-.3,6.5,,1.5,.6,86.5,1026
90,속초,2021-03-09,8.1,-.3,15.2,,1.7,-.5,60.8,1019.9
90,속초,2021-03-10,7.4,2.2,11.5,,2.6,0,60.8,1026.9
90,속초,2021-03-11,10.6,1.8,16.1,,1.6,1,54,1021.7
90,속초,2021-03-12,6.6,5.1,10.6,3.9,2.9,3.1,79.9,1021.9
90,속초,2021-03-13,6,2.4,10.1,,1.5,-.1,65.9,1019.3
90,속초,2021-03-14,8,3,13.2,,1.1,4.5,79.4,1016.1
90,속초,2021-03-15,10.6,4,14.2,,1.1,3.5,63,1011.7
90,속초,2021-03-16,10.5,4.8,15.9,0,2.6,.7,53.4,1009.5
90,속초,2021-03-17,7.3,2.8,10.3,,1.8,.1,61.3,1017.7
90,속초,2021-03-18,7.1,5.2,9.1,,1.9,3.5,78.1,1020.5
90,속초,2021-03-19,7.4,6.2,9,,1.5,4.4,81.9,1020.2
90,속초,2021-03-20,7.4,5.7,9.9,.9,1.8,5.2,86.3,1011.9
90,속초,2021-03-21,7.3,4.7,11.6,,3.2,-2.6,53.1,1008
90,속초,2021-03-22,8.1,3,12.8,,3.1,-9.2,29.5,1014
90,속초,2021-03-23,12.8,6.5,18.9,,2.7,-8.1,22.6,1013.5
90,속초,2021-03-24,13.8,9.5,17.8,,2.3,-4.3,30.5,1014.8
90,속초,2021-03-25,14.3,9.5,18.7,,2.1,.7,41.5,1015.6
90,속초,2021-03-26,13.6,10.1,17.9,,2.3,3.7,54.9,1018.1
90,속초,2021-03-27,9.1,7.3,11.4,9.2,1.5,6.9,86.6,1010.5
90,속초,2021-03-28,12.4,7.9,17.3,3.3,2,7.2,73.1,996.7
90,속초,2021-03-29,13.8,9.4,18.6,0,4.5,-2.6,34,1001
90,속초,2021-03-30,12.2,7.2,18.6,,2,-3.7,35.9,1008.1
90,속초,2021-03-31,11.1,5.4,15.2,,1.3,4.9,67.1,1013.6
90,속초,2021-04-01,10,7.3,13.1,,1.8,8,88.4,1021.9
90,속초,2021-04-02,11.3,7.3,15.5,,1.4,8.4,83.4,1021
90,속초,2021-04-03,10.1,9.2,11.4,40.5,2.1,7.9,87,1014.8
90,속초,2021-04-04,7.5,3,10.8,12.1,3.3,1.2,66.1,1017.4
90,속초,2021-04-05,8.9,2,14.2,,2,-.7,51.8,1020.6
90,속초,2021-04-06,14.1,5.4,20.4,,1.8,2.3,48,1014.8
90,속초,2021-04-07,14.6,9.2,17.6,,2.7,3.4,48.6,1014.9
90,속초,2021-04-08,11,7.8,14.1,1.8,2.6,3.5,60.6,1016.5
90,속초,2021-04-09,9.4,4.2,12.8,,3.3,-.5,50.9,1026
90,속초,2021-04-10,9.4,2.1,14.7,,2.4,2,60.6,1028.1
90,속초,2021-04-11,12.2,6.6,18.2,,2.1,6.9,71.6,1026.5
90,속초,2021-04-12,11,8.9,14.7,12,1,8.4,85.4,1016.2
90,속초,2021-04-13,13.5,8.8,19.5,4.5,2.5,3.9,57.5,1006.1
90,속초,2021-04-14,10.7,5.2,15.1,,2.3,-1.1,44.6,1013.4
90,속초,2021-04-15,12.4,8,16.5,,2.7,-.2,42.6,1014.6
90,속초,2021-04-16,14.5,8.7,18.8,,2.5,.7,39.4,1010.3
90,속초,2021-04-17,11.1,7.2,16.4,0,2.6,-3.8,38,1010.2
90,속초,2021-04-18,12.1,7.6,15,,2.6,.3,45.1,1010.2
90,속초,2021-04-19,18.2,10.5,23.8,,4.1,-1.6,26.8,1008.3
90,속초,2021-04-20,16.8,11.6,23.5,,2.8,3.6,46,1016.2
90,속초,2021-04-21,13.9,8.3,17.5,,1.3,8.9,73,1019.7
90,속초,2021-04-22,13.9,10.9,17.9,,1.5,11.3,85.3,1019.5
90,속초,2021-04-23,11.7,11,13.4,,2.4,10.4,91.9,1022.2
90,속초,2021-04-24,12.9,9.5,17.6,,1.5,8.8,77,1018.7
90,속초,2021-04-25,11.7,6.5,16,0,2.5,3.7,59.4,1021.8
90,속초,2021-04-26,11.7,4.8,17,,2.6,5,64.8,1018.7
90,속초,2021-04-27,15.8,10.5,20.3,0,1.3,6.2,54.4,1013.1
90,속초,2021-04-28,18.2,13.6,22.6,,2.6,-.2,31.6,1010.4
90,속초,2021-04-29,11.8,9.7,16.7,3.8,1.3,5.1,65.6,1005.4
90,속초,2021-04-30,9.9,7.7,13.4,22.5,2,7.5,86,1002.2
90,속초,2021-05-01,9.7,8.1,12.1,32,3.1,7.8,88.5,1002.2
90,속초,2021-05-02,13.4,7.6,16.9,4.2,1.7,4.9,58.9,1011.7
90,속초,2021-05-03,17.4,13.9,22.7,,2.2,2,37.8,1012.1
90,속초,2021-05-04,16.2,10.8,19.7,1.2,2.1,7,57.6,1005.8
90,속초,2021-05-05,17,10.8,21.9,3.2,3,1.7,41.4,1005.6
90,속초,2021-05-06,19.1,13.5,26.4,,2.1,3,35.5,1010.4
90,속초,2021-05-07,18.8,14,23.6,1.9,4,3.3,37,998.5
90,속초,2021-05-08,18.7,14,24.3,0,3.7,2.5,34.8,997.5
90,속초,2021-05-09,18.4,14,23.5,,3.9,-1.8,26.8,1003.4
90,속초,2021-05-10,16.2,10.2,19.6,,1.9,2.4,41.3,1010.1
90,속초,2021-05-11,14.1,7.7,19,,1.9,8.6,70.1,1014.5
90,속초,2021-05-12,13.7,8.2,19.1,,1.4,9.9,78.8,1013.4
90,속초,2021-05-13,15.2,10.5,19.8,,1.5,11.7,80.4,1010.8
90,속초,2021-05-14,16.1,12.1,21.1,,1.7,13.5,85.5,1010.9
90,속초,2021-05-15,16,14.8,19,2.9,1.4,14.6,91.5,1005.9
90,속초,2021-05-16,12.6,9.9,15.8,67,2.8,11.7,94.4,1003.7
90,속초,2021-05-17,12.9,10,15.7,2.1,.9,10.4,85.6,1006
90,속초,2021-05-18,15.3,9.1,20.7,,2,12.2,82.9,1007
90,속초,2021-05-19,22.4,14.1,28.6,,1.4,9.7,46,1006.7
90,속초,2021-05-20,17,14.3,22.5,5,1.5,11.6,72.9,1004.9
90,속초,2021-05-21,15.1,12.7,18.3,13.8,2.7,11.2,79,1003.5
90,속초,2021-05-22,21,13.8,28.3,,1.4,12.7,61.4,1004.3
90,속초,2021-05-23,23.7,16.6,29.8,,1.7,12.6,51.4,1005.3
90,속초,2021-05-24,20.9,15.8,24.8,,1.9,6.8,41.9,1003.2
90,속초,2021-05-25,15.7,11.8,20.3,.4,2.8,7.1,58.5,1002.4
90,속초,2021-05-26,20.4,13.7,26.2,,2.1,5.6,38.8,1003.3
90,속초,2021-05-27,16,13,22.4,5.2,1.4,11.6,77.8,998.2
90,속초,2021-05-28,15.6,13,21.1,4.1,2.5,11.3,76.8,997.2
90,속초,2021-05-29,15.8,12.6,19.3,4.3,2,11.1,75,1002.4
90,속초,2021-05-30,17.8,11.8,22.3,,1.9,10.2,62.1,1007.3
90,속초,2021-05-31,16.3,14,20.6,7.6,1.3,14.5,89.1,1010.9
90,속초,2021-06-01,16.2,13.3,18.6,.3,1.1,14.8,91.8,1011.7
90,속초,2021-06-02,17.1,13.9,21.3,,1.3,15.5,90.9,1011.1
90,속초,2021-06-03,15.9,14,18.4,10.2,1.6,15,95,1001.8
90,속초,2021-06-04,21.3,12.9,26.8,1.3,2.1,7.5,44.6,995.7
90,속초,2021-06-05,23.2,19.6,28.2,,2.3,9.7,43,995.8
90,속초,2021-06-06,22.9,19,27.4,,2.3,13.1,55.1,1002.9
90,속초,2021-06-07,24.5,19.9,30,0,2,14.4,54.5,1009.4
90,속초,2021-06-08,20.2,17.6,23.7,.5,1.8,16,77.4,1014
90,속초,2021-06-09,19.9,17,23.2,,2.1,17.5,86.5,1014.7
90,속초,2021-06-10,18.9,17.7,20.8,.8,1.3,17.2,90.4,1011
90,속초,2021-06-11,23.5,18,29.4,5,1.5,17,69,1005.8
90,속초,2021-06-12,21.9,17.8,25.6,,1.8,16.8,73.8,1010.1
90,속초,2021-06-13,19.3,15.2,23.2,,1.6,17.7,91,1007.3
90,속초,2021-06-14,20.3,18,23.3,,1.2,18.1,87.6,1006
90,속초,2021-06-15,20.1,19.4,21.1,.1,1,19.1,94.5,1005
90,속초,2021-06-16,19,17.7,21.2,3.4,2,17,88.5,1007.3
90,속초,2021-06-17,18.7,16.2,21.1,0,1.7,15.8,83.9,1004.8
90,속초,2021-06-18,22.5,17.9,28.7,,1.3,16.7,72.4,997
90,속초,2021-06-19,21,18.4,23.9,,1.9,16.9,78.5,998.6
90,속초,2021-06-20,20.7,18.5,23.4,0,3.1,17.8,83.9,998.7
90,속초,2021-06-21,18.8,16.4,20.9,6.6,2.2,16.4,86.5,1003.9
90,속초,2021-06-22,17.4,16.2,19.4,7.7,1,15.4,88.6,1009.2
90,속초,2021-06-23,18.5,15.6,22.9,,1.4,15.4,83,1010.5
90,속초,2021-06-24,19.4,14,23.9,,1.9,16.5,84,1009.5
90,속초,2021-06-25,20.8,16.5,24.9,,1.9,18.3,86,1008.6
90,속초,2021-06-26,20.3,18.8,22.7,7.8,.8,18.9,92.5,1008.6
90,속초,2021-06-27,21.4,18.3,25,,1,19.4,89.4,1007.4
90,속초,2021-06-28,21.5,19.1,24.5,0,1,19.2,87.8,1005.2
90,속초,2021-06-29,21.9,17.4,25.8,0,1.8,18.6,82.5,1004.8
90,속초,2021-06-30,21.4,18.9,24.3,.1,1.8,19.4,89.1,1005.8
90,속초,2021-07-01,22.5,18.9,26.4,,1.8,20.1,86.8,1006.4
90,속초,2021-07-02,22.6,20.7,25.6,,1,19.7,84.4,1009.9
90,속초,2021-07-03,21.1,19.7,24.6,37,1.5,19.2,89.8,1008.6
90,속초,2021-07-04,20.5,19.2,21.7,50.3,2.7,19.4,93.3,1002.6
90,속초,2021-07-05,24.8,18.1,29.9,,1.1,18.6,70.8,1005.4
90,속초,2021-07-06,23.4,20.6,26.7,,1.1,19.6,79.9,1004.8
90,속초,2021-07-07,23.6,19.9,26.7,,1.5,21.2,87.1,1005.6
90,속초,2021-07-08,23.5,22.1,27.3,6.2,1.2,22.1,92.4,1004.8
90,속초,2021-07-09,23.3,20.6,27.1,2.2,1.4,21.5,90.1,1004.1
90,속초,2021-07-10,22.8,19.7,26.6,1.9,1.7,21.3,91.6,1004.9
90,속초,2021-07-11,26.7,21.4,31.2,,1.8,21.4,74.1,1006.1
90,속초,2021-07-12,26.5,23.5,29.9,,1.4,22.9,80.8,1007.6
90,속초,2021-07-13,25.9,23.4,29.4,,1.8,23.7,88.4,1008.9
90,속초,2021-07-14,26.3,24.6,29.3,,1.4,23.8,86.5,1011.1
90,속초,2021-07-15,27,25.1,30.1,0,1.5,24.2,85.1,1013.5
90,속초,2021-07-16,26.6,23.8,30.8,,1.8,24,85.8,1013.9
90,속초,2021-07-17,25.2,22.7,28.4,5.1,.9,22.8,86.9,1012.1
90,속초,2021-07-18,26.3,22.4,30,,1.5,23.4,84.6,1010.6
90,속초,2021-07-19,27,23.1,31.2,,1.4,23.8,83.1,1011.5
90,속초,2021-07-20,26.8,23.6,30.5,,1.2,24.1,85.6,1012.6
90,속초,2021-07-21,27.1,23.9,31.4,,1.5,24.1,84.1,1012.1
90,속초,2021-07-22,25.9,21.8,30.7,,1.6,22.9,84.1,1010.7
90,속초,2021-07-23,26.3,22.6,30.8,,1.8,23.3,84.3,1008.4
90,속초,2021-07-24,26.6,23.4,30.4,,1.6,24,86,1007.5
90,속초,2021-07-25,26.4,22.6,30.3,,1.5,23.5,84.9,1006.3
90,속초,2021-07-26,27.3,24.7,31.2,0,1.4,24.2,84.1,1004.2
90,속초,2021-07-27,27.6,24.2,31.7,,1.2,23.9,81,1002.7
90,속초,2021-07-28,27.1,22.9,31.6,,1.3,22.7,78,1002
90,속초,2021-07-29,27.4,22.9,32.1,,1.8,23.4,79.9,1000
90,속초,2021-07-30,28.4,23.9,32.9,,1.4,24.6,80.5,998.3
90,속초,2021-07-31,28.4,25.2,33.2,1.4,.9,25,83,998.2
90,속초,2021-08-01,27.7,25,31.4,.6,1.1,25,86.1,998.9
90,속초,2021-08-02,26.5,24.6,29.6,8.5,1,24.6,89.8,1000.8
90,속초,2021-08-03,27.9,24.5,31.8,0,1.2,24.8,83.8,1005.1
90,속초,2021-08-04,29.2,25.6,33.8,0,1.6,24.2,75.6,1005.6
90,속초,2021-08-05,29.1,24.6,33.5,,1.8,23.2,71.8,1003.3
90,속초,2021-08-06,27.1,22.9,33.1,16.2,1.5,23.2,80,1001.4
90,속초,2021-08-07,26.5,22.8,30.1,,1.6,23.1,82.4,1001.7
90,속초,2021-08-08,23.7,21.7,26.7,83.5,1.6,21.6,88.4,1003.3
90,속초,2021-08-09,24.3,21.9,27.6,24.3,3.2,21.3,84.1,1003.3
90,속초,2021-08-10,23.6,20.4,28.4,5.9,1.9,20.6,84.6,1006.6
90,속초,2021-08-11,24.1,20.4,28.3,,.9,21.1,84,1009.3
90,속초,2021-08-12,24.2,21.7,27.4,,1.5,21.3,84.6,1009.1
90,속초,2021-08-13,23.8,21.4,26.9,0,1.8,20.6,82.6,1006.4
90,속초,2021-08-14,22.7,20.9,24.5,13,3.1,19.8,84,1008.3
90,속초,2021-08-15,22.1,19.8,25.1,1.9,1.6,18.6,81.5,1014.2
90,속초,2021-08-16,22.7,19.8,26.5,,1.5,19,80.3,1014.6
90,속초,2021-08-17,21.6,20.4,24.2,17.5,1.8,19.3,87.1,1010.6
90,속초,2021-08-18,22,20.7,23.8,25.3,2.3,19.8,87.8,1010.7
90,속초,2021-08-19,22.9,20.7,25.5,0,2.5,19.7,82.8,1011.9
90,속초,2021-08-20,23.6,20.9,27,0,1.6,19.6,78.9,1010.8
90,속초,2021-08-21,23.6,20.2,29.4,7.7,1.5,20.5,83.8,1001
90,속초,2021-08-22,27.5,24.9,30.9,,2.7,17.5,54.9,1003.3
90,속초,2021-08-23,23.2,20,26.3,.1,.8,18.3,75.3,1006.4
90,속초,2021-08-24,21.2,19.6,22.8,21,.7,20.6,97.1,999.2
90,속초,2021-08-25,22.1,21.4,23,.9,1.1,21.1,94,1004.6
90,속초,2021-08-26,24.4,20.9,29.1,,1.3,20.5,80.8,1008.6
90,속초,2021-08-27,24.4,20.4,28.1,.1,2.1,16.7,63,1009.1
90,속초,2021-08-28,25.8,21,30.8,,1.9,16.1,55.5,1009.5
90,속초,2021-08-29,24.8,21,27.8,.4,1.1,16.7,61.1,1010.1
90,속초,2021-08-30,23.8,19.9,28.6,0,1.2,17.5,69,1012.6
90,속초,2021-08-31,21.1,17.1,24.7,20.2,1.6,17.6,81.1,1014
90,속초,2021-09-01,19.1,16.9,21,30.6,1.6,18.4,96.5,1010.8
90,속초,2021-09-02,21.2,17.9,24.9,,1.4,18.3,84.4,1009.8
90,속초,2021-09-03,21.3,17.9,25.8,,1.8,17,77.6,1009.9
90,속초,2021-09-04,21.2,17.5,25.2,1.5,2.4,16.5,75.6,1015.3
90,속초,2021-09-05,21.1,18.2,24.4,15.8,2.3,18.6,86.3,1018.9
90,속초,2021-09-06,22.5,18.9,25.2,2.6,3.1,18.1,76.6,1017.5
90,속초,2021-09-07,19.1,17.4,22.3,43.1,2.4,18.2,94.6,1007.8
90,속초,2021-09-08,20.3,17.4,24.1,5.6,1.6,18.3,89,1008.3
90,속초,2021-09-09,21.8,16.8,26.3,,1.5,18.8,83.8,1010.9
90,속초,2021-09-10,22.9,17.7,26.1,,1.4,18.8,78.5,1010.1
90,속초,2021-09-11,24.8,19.5,28.2,,1.6,17.1,63.1,1009.2
90,속초,2021-09-12,22.3,19,26.5,0,1.3,17.3,73.9,1011.9
90,속초,2021-09-13,21.8,18.4,25.6,.7,2.8,17.8,78.8,1016.7
90,속초,2021-09-14,21.4,17,26,,1.4,17.2,78.4,1016.5
90,속초,2021-09-15,21.7,18.8,25.5,1.1,1.9,16.7,74.1,1017.5
90,속초,2021-09-16,20.7,17.3,25.2,0,1.3,16.6,78.1,1013
90,속초,2021-09-17,21.3,19,24.7,2.9,1.4,18,82.5,1010.2
90,속초,2021-09-18,21.2,18.6,24.6,7.8,1.6,18.2,83.8,1013.8
90,속초,2021-09-19,20.8,17.2,24.2,,1.2,17.1,80.4,1015.3
90,속초,2021-09-20,21.4,16.8,26.4,0,1.9,17.6,79.9,1011.7
90,속초,2021-09-21,22.5,18.5,28.8,3.9,1.2,17.4,74.8,1001.5
90,속초,2021-09-22,22.8,20.3,26.5,,2.6,12.7,53.6,1003.3
90,속초,2021-09-23,21.4,17.1,26.1,,2,12.7,59.1,1012.9
90,속초,2021-09-24,19.7,16.8,23.6,11.4,1.9,16.5,82.3,1022.4
90,속초,2021-09-25,18.2,17.1,19.4,9.4,1,17.5,96,1023.4
90,속초,2021-09-26,19.8,16.7,24,,1.4,16.1,80.9,1020.4
90,속초,2021-09-27,19,16.1,22.6,0,.9,15.4,80.8,1015.9
90,속초,2021-09-28,19.5,17.3,22.1,.6,.9,16.3,82.1,1012.6
90,속초,2021-09-29,18.1,16,19.8,4.6,1.5,17.1,94.5,1006.2
90,속초,2021-09-30,19.4,14.6,24.8,,1.6,16.2,82.9,1006.8
90,속초,2021-10-01,20,15.4,25.6,,1.5,16,78.8,1006.7
90,속초,2021-10-02,20.1,16.3,24.6,,1.5,16.1,78.8,1010.6
90,속초,2021-10-03,22.3,16.9,27.4,,1.4,15.6,67,1015.1
90,속초,2021-10-04,25.1,21.5,27,4.9,2,16.6,61.8,1015.3
90,속초,2021-10-05,17.6,15.8,21.6,56.9,2.5,17,96.3,1019.9
90,속초,2021-10-06,16.5,15.6,18.2,34.4,2.8,15.8,96.1,1020.8
90,속초,2021-10-07,16.7,15.7,19,2.8,1.6,15.3,92.1,1015.4
90,속초,2021-10-08,17.1,15.8,18.6,23.4,1.2,16.7,97.8,1020.9
90,속초,2021-10-09,18.8,17.4,20.7,42.9,1.2,18.4,98.4,1021.6
90,속초,2021-10-10,21.9,17.9,27.5,0,1.5,17.3,76.8,1013
90,속초,2021-10-11,15.9,14.1,20,0,1.2,10.7,72.6,1020.5
90,속초,2021-10-12,16.9,13.6,20.9,0,1.9,12.2,75.1,1025.8
90,속초,2021-10-13,17.6,14.6,22.1,0,1.3,12,70.9,1023.9
90,속초,2021-10-14,19.7,14,24.2,0,1.4,14,70.8,1016
90,속초,2021-10-15,16.9,14.8,20.4,37.7,2.2,14.3,85.5,1017
90,속초,2021-10-16,12.8,5.8,18.9,2.1,2.7,4.6,60.6,1017.9
90,속초,2021-10-17,6.3,2.2,10.8,,1.6,-4.4,47.5,1024
90,속초,2021-10-18,11.4,3.3,17.4,,1.7,.8,49,1020.1
90,속초,2021-10-19,10.6,6.9,15.5,10.5,2.4,5.6,72.8,1017.3
90,속초,2021-10-20,9.2,5.4,14,.8,1.7,4.4,73.4,1019.4
90,속초,2021-10-21,10.7,6,15.5,0,2,6,73.5,1017.9
90,속초,2021-10-22,10.8,8.4,15.2,.5,2.4,5.9,72.4,1020.6
90,속초,2021-10-23,12.4,7.8,18.4,,1.8,4.5,60.1,1025
90,속초,2021-10-24,13,8.4,19,,1.4,1.8,47.8,1022.7
90,속초,2021-10-25,13.1,7.6,18.5,,1.3,2.4,49.8,1019.5
90,속초,2021-10-26,15.9,8.9,21.1,,1.7,3.5,45,1015.7
90,속초,2021-10-27,15.2,10.5,19.5,0,2,4.3,48.6,1014.7
90,속초,2021-10-28,13.1,9.4,18.4,,2.2,2.3,48.9,1021.8
90,속초,2021-10-29,13.5,8.9,19.5,,1.6,5.3,59,1023.9
90,속초,2021-10-30,13.9,9.6,19.9,,1.3,5.8,59.3,1021.4
90,속초,2021-10-31,15.2,10.9,20.7,,1.3,6.4,56.5,1020.5
90,속초,2021-11-01,14.5,11.8,19,0,2.4,6.9,61.4,1019.8
90,속초,2021-11-02,11.9,9.2,14.3,10.9,1.6,8.9,82.4,1019.4
90,속초,2021-11-03,13.5,10.1,18.2,.1,1.1,8.2,71.8,1016.1
90,속초,2021-11-04,13.7,9.3,19.4,,1,5,56.8,1016.3
90,속초,2021-11-05,14,9.4,19.1,,1.4,6.3,60.4,1018.9
90,속초,2021-11-06,13.9,10.3,19,,1.5,8.9,72.1,1019.8
90,속초,2021-11-07,14.1,9.2,20.1,.3,1.9,8.2,69,1019.4
90,속초,2021-11-08,11.5,6.7,17.5,.6,3.6,4,61.5,1005.7
90,속초,2021-11-09,7.1,5.1,8.8,0,2.9,-2.7,49.8,1005.1
90,속초,2021-11-10,6.2,3.7,9,,3.1,-6.2,40.9,1001.3
90,속초,2021-11-11,6.5,3.9,10.2,,3.5,-6.5,39.3,1005.3
90,속초,2021-11-12,5.8,2.2,10,,2.2,-8.9,34.9,1011.3
90,속초,2021-11-13,9.2,.7,15.7,,1.7,-3.6,41.5,1013.3
90,속초,2021-11-14,12.9,9,17,,2,1.7,47.6,1013.7
90,속초,2021-11-15,11.3,7.2,15.1,,1.7,.2,47.6,1018.5
90,속초,2021-11-16,9.9,5.5,15.1,,1.8,-.4,49.4,1020.7
90,속초,2021-11-17,9.8,4.1,14.6,,1.6,-3.9,38.5,1019.7
90,속초,2021-11-18,14.6,8.3,17.6,,2.3,3.4,47.4,1012.9
90,속초,2021-11-19,15.8,12,19.6,,2.4,5.4,51.6,1013.4
90,속초,2021-11-20,11.8,8.1,16,.2,2.5,7,73.6,1018.2
90,속초,2021-11-21,12.2,8.9,16.5,,.9,7.4,74.1,1012.8
90,속초,2021-11-22,4.4,.4,14.5,0,3.5,-9.1,38.1,1008.8
90,속초,2021-11-23,1.1,-1.8,5,,3.8,-16.6,26.9,1010.7
90,속초,2021-11-24,6.1,0,9.5,0,4.1,-7.9,36.4,1010.8
90,속초,2021-11-25,8.7,4.7,11.8,,2.6,-9.1,28.6,1013.1
90,속초,2021-11-26,5.8,2.8,10.3,,2.4,-10.8,29.6,1021.5
