지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa)
90,속초,2021-01-01,-2.9,-7.7,1.2,,2.2,-19,27.6,1020.4
90,속초,2021-01-02,-2.5,-6.3,1.5,,2.3,-24.8,16.8,1023.1
90,속초,2021-01-03,-2.5,-5.8,.7,,3.6,-22.9,19.4,1026.9
90,속초,2021-01-04,-.9,-4.2,3.2,,2.7,-19.2,25.1,1026.8
90,속초,2021-01-05,-3.2,-7.3,.1,,2.5,-19.7,29.6,1024.2
90,속초,2021-01-06,-5.9,-9.4,-2.2,,2.2,-23.5,26.1,1018.3
90,속초,2021-01-07,-12.1,-14.8,-5.9,0,4.2,-29,23.4,1017.1
90,속초,2021-01-08,-13,-16.1,-9,,2.5,-29.4,24.1,1017
90,속초,2021-01-09,-10.2,-15.6,-5.3,,2.5,-25.2,28.4,1017.6
90,속초,2021-01-10,-5.9,-12.6,-1.2,,1.9,-20.2,31.6,1022.1
90,속초,2021-01-11,-4.4,-9.2,-.3,,1.5,-18.9,32.4,1021.8
90,속초,2021-01-12,-.8,-4.8,2.5,,2.7,-12.4,41.4,1013
90,속초,2021-01-13,5.7,-.8,9.3,,2.4,-6.5,41.4,1009.5
90,속초,2021-01-14,2.8,-1.2,6,,1.8,-12.7,35.5,1019.5
90,속초,2021-01-15,3.2,-1.2,7.8,0,2.6,-2.8,68.1,1011.8
90,속초,2021-01-16,-.2,-5.3,4.8,,2.8,-14,35.3,1018.6
90,속초,2021-01-17,-3.9,-7.1,-.2,,2.3,-19.5,29.6,1021
90,속초,2021-01-18,-2.6,-6.9,2.5,0,2.6,-14.4,42.3,1016.1
90,속초,2021-01-19,-6.1,-10.9,-1.6,,1.3,-16.4,44.3,1028.4
90,속초,2021-01-20,1,-5.9,7.9,,1.2,-11.3,40.1,1025.4
90,속초,2021-01-21,6.4,.3,9.7,0,1.5,.1,65.4,1019.4
90,속초,2021-01-22,5,2.2,7.3,,1.6,3,87.6,1018.8
90,속초,2021-01-23,1.8,.9,4.9,,1.9,.5,91.5,1023.7
90,속초,2021-01-24,3.5,1.9,5.6,,.9,1.1,84.5,1025.6
90,속초,2021-01-25,4.1,.5,7.9,,1.3,2.8,91.8,1025.5
90,속초,2021-01-26,5.3,3.4,8.5,0,1.4,1.1,77.6,1016.1
90,속초,2021-01-27,3.3,.3,6.7,,2,-9.7,38.4,1019.1
90,속초,2021-01-28,-.5,-7.6,8.1,0,3.4,-14.6,34.4,1009.6
90,속초,2021-01-29,-6.4,-9.7,-2.8,,3.7,-25.2,21.5,1017.6
90,속초,2021-01-30,1.3,-7.9,5.1,,3.2,-12.5,37.1,1020.2
90,속초,2021-01-31,2.8,-3.1,8.2,0,1.6,-6.7,50.9,1023.6
90,속초,2021-02-01,7.7,2.6,13.7,0,2.7,-4.7,46.9,1009.8
90,속초,2021-02-02,-2.7,-5.8,3.6,,3.7,-22.9,20.3,1017.8
90,속초,2021-02-03,-2.2,-7.6,2,0,2.4,-16.6,35.3,1019.5
90,속초,2021-02-04,.1,-2.8,2.9,0,2.7,-17.4,28.9,1019.5
90,속초,2021-02-05,5.1,-.4,9.2,,3,-8.1,38.5,1014.3
90,속초,2021-02-06,8.7,5.1,12.5,,2.5,-1.8,47.8,1010.3
90,속초,2021-02-07,3.9,-.5,9.1,0,1.9,.6,79.9,1017
90,속초,2021-02-08,-1.2,-3.9,1.5,,2.6,-15.5,33.8,1021.8
90,속초,2021-02-09,1.7,-4.8,7.3,,2,-15,28.4,1021.4
90,속초,2021-02-10,5.8,1.5,10.4,,2.5,-5.9,42.9,1018.8
90,속초,2021-02-11,6.1,.6,10.7,,2,-2.8,53.8,1021
90,속초,2021-02-12,6.7,1.5,13.8,,1.5,-.6,61,1020.3
90,속초,2021-02-13,4,.3,8.1,,1.2,.6,79.8,1021.5
90,속초,2021-02-14,5.9,.9,11.1,.1,1.4,3.5,85.8,1012.5
90,속초,2021-02-15,3.1,-3.2,8.5,.1,2.8,-6.4,56.3,1003.4
90,속초,2021-02-16,-2.9,-6.2,.7,,4,-21.2,24.1,1009.9
90,속초,2021-02-17,-7.5,-10,-4.2,,2.9,-22.7,28.8,1010.7
90,속초,2021-02-18,-4,-10.1,1.8,,1.4,-18.8,31.5,1015
90,속초,2021-02-19,5.7,-4.3,11.1,,2.6,-9.4,34.1,1007.5
90,속초,2021-02-20,12.7,7.9,17.8,,3,-5.4,30.9,1002.7
90,속초,2021-02-21,7.4,3.1,14.4,,2.6,.3,65.6,1006.3
90,속초,2021-02-22,4,1.9,7.6,,1.5,1,81.1,1011.1
90,속초,2021-02-23,.6,-2.5,3.6,,1.8,-9.1,48.8,1021.4
90,속초,2021-02-24,1,-2.7,5.4,,1.7,-8.9,48.8,1024.1
90,속초,2021-02-25,2.9,-1.9,7,,1.1,-2.1,69.8,1021.2
90,속초,2021-02-26,4.5,.2,7.7,0,2.1,.1,73.3,1024.9
90,속초,2021-02-27,3.9,1.7,6.5,4.8,1.8,1.2,83,1029.9
90,속초,2021-02-28,6.1,-1.5,10.7,,1.6,1.4,72.9,1023.4
90,속초,2021-03-01,2,-.4,10,73.4,3,.6,90.8,1018.8
90,속초,2021-03-02,-1.3,-4.1,.5,7.6,2.1,-3,87.8,1023.9
90,속초,2021-03-03,2.1,-4.5,7.4,,1.4,-3.2,68.8,1025.7
90,속초,2021-03-04,5.9,.7,10.5,,1.1,-1.2,60.5,1020
